experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_test,n_features,label,precision,recall,f1,support
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DoS_Slowloris,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,FTP-Patator,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Heartbleed,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Port_Scan,0.0,0.0,0.0,161323
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,SSH-Patator,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_Brute_Force,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_SQL_Injection,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_XSS,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Benign,0.5811109559152887,0.994106047206552,0.7334683592527035,364102
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Botnet_ARES,0.0,0.0,0.0,5508
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DDoS_LOIT,0.0,0.0,0.0,95733
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DoS_GoldenEye,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DoS_Hulk,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DoS_Slowhttptest,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,DoS_Slowloris,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,FTP-Patator,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Heartbleed,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Port_Scan,0.0,0.0,0.0,161323
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,SSH-Patator,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_Brute_Force,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_SQL_Injection,0.0,0.0,0.0,0
advanced_core_s7,7,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,,171746c8753403c4,411d47df062d3116,35d101b07c4e0bdf,1485336,626666,115,Web_XSS,0.0,0.0,0.0,0
advanced_core_s7,7,logistic_regression,deployment_safe,scenario_holdout_Web,,171746c8753403c4,411d47df062d3116,a2cc81896f713cd5,1702884,361363,115,Benign,0.9918154341118882,0.8836379311792681,0.9346068044451089,357247
