experiment,seed,model,feature_tier,split,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,status,train_seconds,test_inference_seconds,val_inference_seconds,warning_count,convergence_warning_count,calibration_method,calibration_seconds,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,temporal,,1f001324943b2e17,d2a1e637f6c65ede,c3d38fb248973810,140649,30139,30140,77,completed,6.925734771999942,0.26402857399989443,0.12527434699995865,0,0,isotonic,0.007531180999649223,0.8414178676992874,0.712708693421682,0.7061950119718969,0.5471301354481585,0.13565289892532312,0.13097079565516428,0.928019629850037,0.9338808897469743
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,10.454214651000257,0.14448899299986806,0.027850816999944072,0,0,raw,0.0,0.6496058596279672,0.6604131969695625,0.7351564685493961,0.48150437828565995,0.26159160513890817,0.38436645378496676,0.6832896449886174,0.8255246594800147
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,10.454214651000257,0.14448899299986806,0.027850816999944072,0,0,platt_sigmoid,0.10191424999993615,0.6608707135625302,0.6667711827499938,0.737265211550688,0.48044418001734035,0.2352674465374073,0.32873728070529323,0.6832896449886174,0.8255246594800147
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,10.454214651000257,0.14448899299986806,0.027850816999944072,0,0,isotonic,0.011327965999953449,0.650183435241801,0.6595892034722397,0.7327930361574273,0.4750337563172019,0.24203103313990532,0.3208287998601551,0.6916130222112841,0.8657631883987831
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,6.306622423000135,0.3731412920001276,0.1062011789999815,0,0,raw,0.0,0.8889236692595432,0.8204447794450653,0.8042542853627023,0.6564926277253932,0.1056163476494491,0.14161271448028354,0.9654395034762813,0.9849450481218965
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,6.306622423000135,0.3731412920001276,0.1062011789999815,0,0,platt_sigmoid,0.35862672000030216,0.8867585754656591,0.8159413989884081,0.7994551713529809,0.64876278265173,0.12893988623008132,0.13162895002792907,0.9654395034762813,0.9849450481218965
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,day_holdout_2018-03-02,,1f001324943b2e17,d2a1e637f6c65ede,e045f0eb774a3529,126833,27842,46253,77,completed,6.306622423000135,0.3731412920001276,0.1062011789999815,0,0,isotonic,0.009538042000258429,0.8847561640421787,0.8116675566350879,0.7949073053179926,0.641530484078893,0.11313749137366512,0.13796122311444203,0.9655916353903894,0.9845076179987364
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,16.767350465999698,0.08091597299971909,0.0582759779999833,0,0,raw,0.0,0.36914749661705004,0.6459311303581918,0.8023006465517242,0.3721786962200866,0.08353963593876326,0.16934075629129713,0.8233515625,0.3822489438459412
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,16.767350465999698,0.08091597299971909,0.0582759779999833,0,0,platt_sigmoid,0.11937074300021777,0.38607115821347465,0.6523404330859298,0.8412392241379311,0.4049911709014496,0.1286313464627066,0.24868494635889213,0.8233515625,0.3822489438459412
cse_cic2018_calibration_partial_s42,42,logistic_regression,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,16.767350465999698,0.08091597299971909,0.0582759779999833,0,0,isotonic,0.01057802300010735,0.30514573587621446,0.6215048755321478,0.683854525862069,0.2682116411060066,0.1228411777092656,0.2309354761053459,0.8149093817349138,0.38427516598346434
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,7.2529506569999285,0.14058839200015427,0.12010185300005105,0,0,raw,0.0,0.5261348005502063,0.7408042491829485,0.874207974137931,0.5300939812071997,0.07073719906720606,0.13189097376198308,0.8865908539870688,0.6169800746529418
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,7.2529506569999285,0.14058839200015427,0.12010185300005105,0,0,platt_sigmoid,0.1935909450003237,0.4957874270900843,0.7226093456542394,0.868645474137931,0.5032188648248247,0.07444891291760883,0.12145477304926004,0.8865908539870688,0.6169800746529418
cse_cic2018_calibration_partial_s42,42,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,,1f001324943b2e17,d2a1e637f6c65ede,ef6e92a7f349eba5,150880,33120,16928,77,completed,7.2529506569999285,0.14058839200015427,0.12010185300005105,0,0,isotonic,0.009859876000064105,0.4894433781190019,0.7187535797200932,0.867395474137931,0.4976025069206492,0.07224941014999495,0.12390380128377863,0.8767699016702587,0.5891810139272248
